CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
3345;11211;5;0
3346;11211;1;0
3347;11212;7;117837
3348;11213;7;5711348
3349;11214;7;3635727
3350;11215;7;602543
3351;11219;9;8871
3352;11222;9;58070
3353;11243;9;0
3354;11243;5;0
3355;11245;12;0
3356;11262;4;0
3357;11275;4;0
3358;11275;11;0
3359;11277;4;0
3360;11277;11;0
3361;11277;5;0
3362;11277;1;0
3363;11307;5;1308798
3364;11308;7;93503
3365;11309;7;5782830
3366;11310;7;3701961
3367;11311;7;780389
3368;11312;1;6000
3369;11313;1;6000
3370;11314;1;46569
3371;11315;1;887919
3372;11316;5;0
3373;11316;1;0
3374;11320;9;1000
3375;11321;9;10472
3376;11325;9;12800
3377;11355;12;0
3378;11379;4;0
3379;11386;4;0
3380;11386;11;0
3381;11386;5;0
3382;11386;1;0
3383;11393;4;0
3384;11393;11;0
3385;11408;5;1170627
3386;11410;1;8000
3387;11411;1;60635
3388;11412;1;954243
3389;11413;5;0
3390;11413;1;0
3391;11414;7;102039
3392;11415;7;5944043
3393;11416;7;3616811
3394;11417;7;643565
3395;11422;9;11121
3396;11426;9;5100
3397;11458;4;0
3398;11465;4;0
3399;11465;11;0
3400;11465;5;0
3401;11465;1;0
3402;11472;4;0
3403;11472;11;0
3404;11488;12;0
3405;11510;12;0
3406;11516;5;991386
3407;11517;7;118143
3408;11518;7;4696614
3409;11519;7;2978504
3410;11520;7;574171
3411;11521;1;2000
3412;11523;1;44459
3413;11524;1;911237
3414;11525;5;0
3415;11525;1;0
3416;11529;9;5000
3417;11530;9;14788
3418;11533;9;9226
3419;11579;4;0
3420;11586;4;0
3421;11586;11;0
3422;11586;5;0
3423;11586;1;0
3424;11593;4;0
3425;11593;11;0
3426;11624;12;0
3427;11631;5;853655
3428;11632;1;4500
3429;11633;1;20000
3430;11634;1;41961
3431;11635;1;657232
3432;11636;7;74500
3433;11637;7;4811258
3434;11638;7;3097016
3435;11639;7;537987
3436;11643;9;9939
3437;11647;9;4700
3438;11657;5;0
3439;11657;1;0
3440;11668;9;0
3441;11668;5;0
3442;11679;4;0
3443;11686;4;0
3444;11686;11;0
3445;11686;5;0
3446;11686;1;0
